Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Last_Activity,Review_Text,Sentiment,Segment
1001,7.0,421.32,Facial,2023-06-30,Too expensive for what you get.,Negative,Churned
1002,11.0,413.15,Facial,2024-03-06,,,High-value
1003,7.0,,Body Scrub,2023-08-25,Pretty standard experience.,Neutral,At-risk
1004,11.0,257.74,Aromatherapy,2023-03-20,Worth every cent — flawless service.,Positive,High-value
1005,4.0,104.29,Wellness Package,2023-11-17,Poor communication from staff.,Negative,At-risk
1006,6.0,62.36,Hot Stone Therapy,2023-04-18,Waited 20 mins past my booking time.,Negative,Churned
1007,12.0,490.2,Manicure,2023-03-07,Absolutely fantastic — will book again.,Positive,High-value
1008,12.0,123.95,Aromatherapy,2023-05-18,Waited 20 mins past my booking time.,Negative,Churned
1009,6.0,38.43,Hot Stone Therapy,2023-04-17,Won't be returning.,Negative,Churned
1010,1.0,289.52,Manicure,2023-10-09,Waited 20 mins past my booking time.,Negative,Churned
1011,12.0,507.27,Deep Tissue,2023-06-30,Going to make this a monthly ritual.,Positive,High-value
1012,3.0,220.49,Facial,2023-07-27,Below my expectations.,Negative,At-risk
1013,9.0,57.53,Deep Tissue,2023-05-25,The room was too cold.,Negative,Churned
1014,7.0,117.7,Body Scrub,2023-10-12,Felt rushed throughout.,Negative,At-risk
1015,2.0,495.21,Massage,2023-05-16,Very underwhelming experience.,Negative,Churned
1016,2.0,221.93,Hot Stone Therapy,2023-04-16,Not as described — disappointing.,Negative,Churned
1017,5.0,146.98,Deep Tissue,2023-12-26,Would consider coming back.,Neutral,At-risk
1018,12.0,94.19,Manicure,2023-07-07,Won't be returning.,Negative,At-risk
1019,3.0,476.02,Body Scrub,2024-02-06,,,At-risk
1020,8.0,401.35,Facial,2023-03-03,Highly recommend to everyone.,Positive,High-value
1021,6.0,300.15,Facial,2023-05-22,The room was too cold.,Negative,Churned
1022,2.0,410.94,Massage,2023-10-17,Quality has dropped since my last visit.,Negative,Churned
1023,10.0,468.99,Manicure,2023-07-01,Perfect from start to finish.,Positive,High-value
